year,month,filename,url_used,http_status,bytes,result
2021,January,2021-01.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/January-2021.pdf,200,868618,OK
2021,February,2021-02.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/February-2021.pdf,200,877242,OK
2021,March,2021-03.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/March-2021.pdf,200,870071,OK
2021,April,2021-04.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/April-2021.pdf,200,887528,OK
2021,May,2021-05.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/May-2021.pdf,200,403665,OK
2021,June,2021-06.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/June-2021.pdf,200,838422,OK
2021,July,2021-07.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/July-2021.pdf,200,843386,OK
2021,August,2021-08.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/August-2021.pdf,200,846367,OK
2021,September,2021-09.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/September-2021.pdf,200,854241,OK
2021,October,2021-10.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/October-2021.pdf,200,333153,OK
2021,November,2021-11.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/November-2021.pdf,200,758525,OK
2021,December,2021-12.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/December-2021.pdf,200,940557,OK
2022,January,2022-01.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/January-2022.pdf,200,961547,OK
2022,February,2022-02.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/February-2022.pdf,200,975757,OK
2022,March,2022-03.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/March-2022.pdf,200,987624,OK
2022,April,2022-04.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/April-2022.pdf,200,994312,OK
2022,May,2022-05.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/May-2022.pdf,200,1001696,OK
2022,June,2022-06.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/June-2022.pdf,200,924733,OK
2022,July,2022-07.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/July-2022.pdf,200,918034,OK
2022,August,2022-08.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/August-2022.pdf,200,923389,OK
2022,September,2022-09.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/September-2022.pdf,200,932208,OK
2022,October,2022-10.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/October-2022.pdf,200,937005,OK
2022,November,2022-11.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/November-2022.pdf,200,944648,OK
2022,December,2022-12.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/December-2022.pdf,200,947657,OK
2023,January,2023-01.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/January-2023.pdf,200,958782,OK
2023,February,2023-02.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/February-2023.pdf,200,960965,OK
2023,March,2023-03.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/March-2023.pdf,200,967976,OK
2023,April,2023-04.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/April-2023.pdf,200,974356,OK
2023,May,2023-05.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/May-2023.pdf,200,985734,OK
2023,June,2023-06.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/June-2023.pdf,200,917929,OK
2023,July,2023-07.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/July-2023.pdf,200,923329,OK
2023,August,2023-08.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/August-2023.pdf,200,931750,OK
2023,September,2023-09.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/September-2023.pdf,200,937394,OK
2023,October,2023-10.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/October-2023.pdf,200,944476,OK
2023,November,2023-11.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/November-2023.pdf,200,950112,OK
2023,December,2023-12.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/December-2023.pdf,200,957295,OK
2024,January,2024-01.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/January-2024.pdf,200,2225624,OK
2024,February,2024-02.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/February-2024.pdf,200,2363035,OK
2024,March,2024-03.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/March-2024.pdf,200,867219,OK
2024,April,2024-04.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/April-2024.pdf,200,353336,OK
2024,May,2024-05.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/May-2024.pdf,200,875908,OK
2024,June,2024-06.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/June-2024.pdf,200,1463070,OK
2024,July,2024-07.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/July-2024.pdf,403/403,,MISSING
2024,August,2024-08.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/August-2024.pdf,200,1717510,OK
2024,September,2024-09.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/September-2024.pdf,200,802903,OK
2024,October,2024-10.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/October-2024.pdf,200,848468,OK
